operator_address,moniker,commission_rate,max_rate,delegator_shares,tokens,jailed,status
cosmosvaloper1skhguug7ffln3wekpmjmnnneu8wqfg3yk2uchv,Gentarium Validator,0.100000000000000000,0.200000000000000000,3500001.000085721633282853,3499702,False,BOND_STATUS_UNBONDED
cosmosvaloper1s6x9fy4wc49wj9jx4jv6czredqsmp46h7vnk2q,SNZPool,0.100000000000000000,0.200000000000000000,170017151645.000000000000000000,170017151645,False,BOND_STATUS_BONDED
cosmosvaloper1s6t3wzx6mcv3pjg5fp2ddzplm3gj4pg6d330wg,omega3,0.200000000000000000,1.000000000000000000,245002060977.000000000000000000,245002060977,False,BOND_STATUS_BONDED
cosmosvaloper1s65zmn32zugl57ysj47s7vmfcek0rtd7he7wde,firstblock,0.200000000000000000,0.200000000000000000,194213250033.000000000000000000,194213250033,False,BOND_STATUS_BONDED
cosmosvaloper1s7jnk7t6yqzensdgpvkvkag022udk842qdjdtd,Blockscale,0.250000000000000000,1.000000000000000000,85673209670.443073928214161535,85656075905,False,BOND_STATUS_BONDED
cosmosvaloper1slt7tkd7srlaxnt8vk6uff7j3mc7pk233rs0r5,Dominator,0.050000000000000000,0.500000000000000000,33002530000.000000000000000000,32999229800,True,BOND_STATUS_UNBONDED
cosmosvaloper13x77yexvf6qexfjg9czp6jhpv7vpjdwwkyhe4p,blockscape,0.100000000000000000,0.200000000000000000,294589940850.000000000000000000,294589940850,False,BOND_STATUS_BONDED
cosmosvaloper132juzk0gdmwuxvx4phug7m3ymyatxlh9734g4w,P2P.ORG - P2P Validator,0.080000000000000000,0.500000000000000000,3987056916547.000000000000000000,3987056916547,False,BOND_STATUS_BONDED
cosmosvaloper130mdu9a0etmeuw52qfxk73pn0ga6gawkxsrlwf,jackzampolin,0.100000000000000000,0.150000000000000000,601442877326.000000000000000000,601442877326,False,BOND_STATUS_BONDED
cosmosvaloper13sduv92y3xdhy3rpmhakrc3v7t37e7ps9l0kpv,nylira.net,0.100000000000000000,0.300000000000000000,613576302993.000000000000000000,613576302993,False,BOND_STATUS_BONDED
cosmosvaloper13ce7hhqa0z3tpc2l7jm0lcvwe073hdkkpp2nst,RockX,0.100000000000000000,0.200000000000000000,100347732.000000000000000000,100347732,True,BOND_STATUS_UNBONDED
cosmosvaloper1jxv0u20scum4trha72c7ltfgfqef6nsch7q6cu,Ping.pub,0.080000000000000000,1.000000000000000000,735849237062.000000000000000000,735849237062,False,BOND_STATUS_BONDED
cosmosvaloper1jgczjsz3tugudsutektmr9z9lmv8u6vy0l2de7,InActive,0.130000000000000000,0.130000000000000000,1000000.000000000000000000,1000000,True,BOND_STATUS_UNBONDED
cosmosvaloper1j2ytk05qyx40twttvtph5ytes7lmhgshpuk50d,SpaceXPool,0.100000000000000000,0.200000000000000000,1000000.000000000000000000,1000000,False,BOND_STATUS_UNBONDED
cosmosvaloper1jw8ett8uzrvjjhfcyajwcnckfl64npwxvlz2q8,Deperacated,0.100000000000000000,0.200000000000000000,1000000.000000000000000000,1000000,False,BOND_STATUS_UNBONDED
cosmosvaloper1j0vaeh27t4rll7zhmarwcuq8xtrmvqhudrgcky,chainflow-cosmos-prodval-01,0.120000000000000000,1.000000000000000000,763364835670.000000000000000000,763364835670,False,BOND_STATUS_BONDED
cosmosvaloper1jjstwduq89rzkw4qcsk0q7d4ycq5ktmqd7nrmg,LiebiPool,0.000000000000000000,0.200000000000000000,1120904.695919320972897479,1120799,True,BOND_STATUS_UNBONDED
cosmosvaloper1jmd8vcja8f7vqypxh0rceucrkt9hgsxk4kt5ad,nexus,0.025000000000000000,0.200000000000000000,2000000.000000000000000000,2000000,False,BOND_STATUS_UNBONDED
cosmosvaloper1jlr62guqwrwkdt4m3y00zh2rrsamhjf9num5xr,StakeWith.Us,0.150000000000000000,0.250000000000000000,999978831819.000000000000000000,999978831819,False,BOND_STATUS_BONDED
cosmosvaloper1n9juyach9xvnsnkeale4kc4kjgaedvsape5vf3,----------=🛸=----------,0.030000000000000000,0.300000000000000000,1000100.010002000198019807,1000001,True,BOND_STATUS_UNBONDED
cosmosvaloper1n229vhepft6wnkt5tjpwmxdmcnfz55jv3vp77d,Allnodes,0.000000000000000000,1.000000000000000000,188297288991.000000000000000000,188297288991,False,BOND_STATUS_BONDED
cosmosvaloper1nta8dt082qts2uldz2c2at6xmx8wpdwhld0mdh,mrinal,0.100000000000000000,0.150000000000000000,2000100.010001000100010001,1999900,False,BOND_STATUS_UNBONDED
cosmosvaloper1n3f5lm7xtlrp05z9ud2xk2cnvk2xnzkm2he6er,AirGap 🛡,0.100000000000000000,0.300000000000000000,17892999991.474801133724131681,17891210701,False,BOND_STATUS_BONDED
cosmosvaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q46fe2xk,0base.vc,0.018000000000000000,0.340000000000000000,20032178811.000000000000000000,20032178811,False,BOND_STATUS_BONDED
cosmosvaloper1n5pu2rtz4e2skaeatcmlexza7kheedzh8a2680,BlockMatrix 🚀,0.150000000000000000,0.250000000000000000,327288098895.000000000000000000,327288098895,False,BOND_STATUS_BONDED
cosmosvaloper1n5xufj0753hvhv6q09f5lh29s57epnrl59lpp6,BlockPool.com,0.020000000000000000,0.200000000000000000,1000000.000000000000000000,1000000,False,BOND_STATUS_UNBONDED
cosmosvaloper1ncp4h8ckha4c6lel5wktclt4yrz4t896qawm7z,Comdex,0.100000000000000000,1.000000000000000000,2000000.000000000000000000,1999800,True,BOND_STATUS_UNBONDED
cosmosvaloper1nm0rrq86ucezaf8uj35pq9fpwr5r82clzyvtd8,Kraken,1.000000000000000000,1.000000000000000000,3789095163235.000000000000000000,3789095163235,False,BOND_STATUS_BONDED
cosmosvaloper15r4tc0m6hc7z8drq3dzlrtcs6rq2q9l2nvwher,DragonStake,0.200000000000000000,1.000000000000000000,898222624254.000000000000000000,898222624254,False,BOND_STATUS_BONDED
cosmosvaloper159eexl76jlygrxnfreehl3j9tt70d8wfnn39fw,fishegg.net,0.000000000000000000,0.200000000000000000,1293951.392878903767571751,1293822,False,BOND_STATUS_UNBONDED
cosmosvaloper150g2n4ypex05nla65j6akz38n9tu4quu8nna3h,regen-validator,0.600000000000000000,1.000000000000000000,1000000.000000000000000000,1000000,False,BOND_STATUS_UNBONDED
cosmosvaloper15jlcxs57cku65nrve3hfjlmcr8kaavxcn30mz2,Certify Network,0.100000000000000000,0.700000000000000000,33001300517.998067099922400703,32998000402,True,BOND_STATUS_UNBONDED
cosmosvaloper15kzy7ep24z7tzc7dcy6yy2g0etfvk43sumaquu,👨‍🚀 Stakers Space,0.200000000000000000,0.500000000000000000,12574.000000000000000000,12574,True,BOND_STATUS_UNBONDED
cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,Binance Staking,0.025000000000000000,1.000000000000000000,14078841964243.000000000000000000,14078841964243,False,BOND_STATUS_BONDED
cosmosvaloper15urq2dtp9qce4fyc85m6upwm9xul3049e02707,Chorus One,0.075000000000000000,0.250000000000000000,5338116736260.000000000000000000,5338116736260,False,BOND_STATUS_BONDED
cosmosvaloper142w8q2l0gxsfna72gq8t7e4ee4ul37e9htgtxx,NEOPLY,1.000000000000000000,1.000000000000000000,50012210000.000000000000000000,50012210000,False,BOND_STATUS_BONDED
cosmosvaloper1402ggxz5u6vm29sqztwqq8vxs3ke6dmwl2z5dk,Cosmoon,0.000000000000000000,0.300000000000000000,85009415126.186898618055179778,84992499975,True,BOND_STATUS_UNBONDED
cosmosvaloper143g8ag20zg42z7h2j3dszw52ac6alyv876p2q8,WALLAKIA,0.070000000000000000,0.770000000000000000,1010000.000000000000000000,1010000,False,BOND_STATUS_UNBONDED
cosmosvaloper14kn0kk33szpwus9nh8n87fjel8djx0y070ymmj,Forbole,0.095000000000000000,0.250000000000000000,2506869805424.000000000000000000,2506869805424,False,BOND_STATUS_BONDED
cosmosvaloper14k4pzckkre6uxxyd2lnhnpp8sngys9m6hl6ml7,Polychain Labs,0.200000000000000000,1.000000000000000000,3580234844170.000000000000000000,3580234844170,False,BOND_STATUS_BONDED
